title,play_date,score,reason
Tetris, 2006, 3,
Guitar Hero, 2007, 3,
Guitar Hero II, 2007, 3,
Guitar Hero III: Legends of Rock, 2007, 3,
Super Mario World, 2010, 3,
The Sims, 2011, 3,
The Sims II, 2011, 3,
CounterStrike, 2012, 3,
CounterStrike: Source, 2012, 3,
Super Mario Bros. 3, 2012, 3,
Final Fantasy VII, 2012, 4,
Super Metroid, 2012, 3,
Super Mario Kart, 2012, 3,
Shadow of the Colossus, 2012, 4,
Street Fighter II, 2012, 3,
Castlevania: Symphony of the Night, 2012, 4,
Final Fantasy VI, 2021, 3,
Pacman, 2012, 3,
Space Invaders, 2012, 3,
Pong, 2012, 3,
Diablo II, 2012, 3,
Tony Hawk's Pro Skater 2, 2012, 3,
Okami, 2012, 3,
Zork, 2012, 3,
Grand Theft Auto I, 2012, 3,
Grand Theft Auto II, 2012, 3,
SimCity 2000, 2012, 3,
StarCraft, 2012, 3,
StarCraft II, 2012, 3,
Ico, 2015, 3,
Red Dead Redemption, 2015, 4,
Uncharted: Drake's Fortune, 2015, 3,
Uncharted 2: Among Thieves, 2015, 3,
Donkey Kong, 2015, 3,
Dota 2, 2015, 3,
Spelunky, 2015, 3,
Pokemon Red/Blue, 2015, 3,
Gran Turismo 3: A-Spec, 2015, 3,
World of Warcraft, 2016, 3,
Brothers: A Tale of Two Sons, 2018, 3,
Valiant Hearts: The Great War™, 2018, 3,
Overwatch, 2018, 3,
The Talos Principle, 2018, 3,
Borderlands 2, 2018, 2,
This War of Mine, 2018, 4,
Game Dev Tycoon, 2018, 2,
Mark of the Ninja, 2018, 2,
Cuphead, 2018, 3,
The Wolf Among Us, 2018, 3,
Broforce, 2018, 2,
Garry's Mod, 2018, 3,
BattleBlock Theater®, 2019, 2,
Return of the Obra Dinn, 2019, 3,
Fallout: New Vegas, 2019, 4,
Sid Meier's Civilization® V, 2019, 3,
South Park™: The Stick of Truth™, 2019, 4,
The Binding of Isaac, 2019, 4,
Terraria, 2019, 3,
FTL: Faster Than Light, 2019, 3,
DOOM, 2019, 3,
Papers Please, 2019, 3,
Rocket League, 2019, 3,
Into The Breach, 2019, 3,
Darkest Dungeon, 2020, 3,
Besiege, 2020, 4,
Untitled Goose Game, 2020, 3,
Among Us, 2020, 3,
Undertale, 2020, 4,
Streets of Rogue, 2020, 3,
Dark Souls, 2020, 3,
Chrono Trigger, 2020, 3,
The Legend of Zelda: A Link to the Past, 2020, 3,
Nier: Automata, 2020, 3,
God of War, 2020, 3,
Loop Hero, 2021, 3,
Doom Eternal, 2021, 2,
Hollow Knight, 2021, 3,
Assassin's Creed Valhalla, 2021, 2,
Deus Ex: Human Revolution, 2021, 3,
Satisfactory, 2021, 2,
Don't Starve Together, 2021, 3,
DUSK, 2021, 3,
Totally Accurate Battle Simulator, 2021, 2,
Helltaker, 2021, 3,
The Legend of Zelda: Ocarina of Time, 2021, 4,
Super Mario 64, 2021, 3,
Stardew Valley, 2021, 3,
Baba Is You, 2021, 3,
Bloodborne, 2021, 3,
Mini Metro, 2021, 3,
SOMA, 2021, 3,
Hellblade: Senua's Sacrifice, 2021, 3,
