title,year,watched,distributor
LOST, 2004, 2010, UNDEFINED
Cosmos, 1980, 2012, UNDEFINED
The Twilight Zone, 1959, 2012, UNDEFINED
The Sopranos - 1 to 2 Season, 1999, 2012, HBO
Dexter, 2006, 2013, Showtime
Freaks and Geeks, 1999, 2012, UNDEFINED
Breaking Bad, 2008, 2013, AMC
Narcos - One to Two Seasons, 2015, 2016, Netflix
Death Note, 2006, 2012, UNDEFINED
Daredevil, 2015, 2018, Netflix
True Detective - Season One, 2014, 2014, UNDEFINED
Sherlock, 2010, 2017, UNDEFINED
Sons of Anarchy, 2008, 2014, FOX
Better Call Saul - 1 to 4 Season, 2015, 2020, AMC
Band of Brothers, 2001, 2012, HBO
Game of Thrones, 2011, 2019, HBO
Chernobyl, 2019, 2019, HBO
When They See Us, 2019, 2020, Netflix
Rick and Morty - Season One to Four, 2013, 2017, Netflix
Dark, 2017, 2020, Netflix
House of Cards - 1 to 5 Season, 2013, 2018, Netflix
The Mandalorian - One to Two Seasons, 2019, 2021, Disney
Dexter: New Blood - Season One, 2021, 2022, Showtime
Invincible - Season One, 2021, 2021, Prime Video
Squid Game - Season One, 2021, 2022, Netflix
Arcane - Season One, 2021, 2022, Netflix
Sex Education - 1 to 3 Seasons, 2019, 2022, Netflix
Love, Death & Robots, 2019, 2022, Netflix
The Witcher - Season One, 2019, 2020, Netflix
Ozark - Season One, 2017, 2020, Netflix
Stranger Things - Season One, 2016, 2020, Netflix
Neon Genesis Evangelion, 1996, 2022, Netflix
